filter1desc,filter1code,filter2desc,filter2groupnum,filter2code,foodlistdesc,foodlistcode,inglist,foodlistimage,saucemark
Beans / peas,11,,,1100,"Cow peas, boiled",10001,Relish,,0
Beans / peas,11,,,1100,"Kabaifa beans, boiled",10002,Relish,,0
Beans / peas,11,,,1100,"Kalongonda beans, boiled",10003,Relish,,0
Beans / peas,11,,,1100,"Mbweso beans, boiled",10004,Relish,,0
Beans / peas,11,,,1100,"Nanyati beans, boiled",10005,Relish,,0
Beans / peas,11,,,1100,"Nkhundhudzu beans, boiled",10006,Relish,,0
Beans / peas,11,,,1100,"Nseula beans, boiled",10007,Relish,,0
Beans / peas,11,,,1100,"Nzama beans, boiled",10008,Relish,,0
Beans / peas,11,,,1100,"Pigeon peas, boiled",10009,Relish,,0
Beans / peas,11,,,1100,"Red beans, boiled",10010,Relish,,0
Beans / peas,11,,,1100,"Soya pieces, boiled",10011,Relish,,0
Beans / peas,11,,,1100,"White beans, boiled",10012,Relish,,0
Beans / peas,11,,,1100,"Other beans, boiled",10088,Relish,,0
"Bread, rice or pasta",12,,,1200,"Bun, white, oiled crust",11001,Toppings,,0
"Bread, rice or pasta",12,,,1200,"Bun, white, soft crust",11002,Toppings,,0
"Bread, rice or pasta",12,,,1200,White bread,11003,Toppings,,0
"Bread, rice or pasta",12,,,1200,Other bread,11088,General,,0
"Bread, rice or pasta",12,,,1200,"Rice, white, boiled",11101,Rice,,0
"Bread, rice or pasta",12,,,1200,"Spaghetti, boiled",11102,Rice,,0
"Bread, rice or pasta",12,,,1200,Other rice or pasta,11188,Rice,,0
Drink,13,Juice,1,1301,Baobab juice,12001,,,0
Drink,13,Juice,1,1301,"Coconut water, fresh, raw",12002,,,0
Drink,13,Juice,1,1301,"Guava juice, ready to drink",12003,,,0
Drink,13,Juice,1,1301,"Juice drink with milk, any flavor (Enjoy)",12004,,,0
Drink,13,Juice,1,1301,"Juice from powder, all flavors, prepared with water",12005,,,0
Drink,13,Juice,1,1301,"Juice from powder, all flavors, prepared with water and sugar",12006,,,0
Drink,13,Juice,1,1301,"Mango juice, fresh-made",12007,,,0
Drink,13,Juice,1,1301,"Mango juice, ready to drink",12008,,,0
Drink,13,Juice,1,1301,"Orange juice, ready to drink",12009,,,0
Drink,13,Juice,1,1301,"Peach juice, ready to drink",12010,,,0
Drink,13,Juice,1,1301,"Pineapple juice, ready to drink",12011,,,0
Drink,13,Juice,1,1301,"Sugarcane juice, fresh-made",12012,,,0
Drink,13,Juice,1,1301,Other juice,12088,,,0
Drink,13,Milk,2,1302,"Cow milk, whole (full cream), UHT or fresh",12101,Milk,,0
Drink,13,Milk,2,1302,"Cow milk, from full cream powder",12102,Milk,,0
Drink,13,Milk,2,1302,"Cow milk, from filled powder (Cowbell)",12103,Milk,,0
Drink,13,Milk,2,1302,"Cow milk, from condensed milk",12104,Milk,,0
Drink,13,Milk,2,1302,Cremora milk,12105,Milk,,0
Drink,13,Milk,2,1302,"Drinking yogurt, fruit flavored or sweetened",12106,,,0
Drink,13,Milk,2,1302,"Flavored milk, ready to drink (Shake 'n' sip)",12107,,,0
Drink,13,Milk,2,1302,Goat milk,12108,Milk,,0
Drink,13,Milk,2,1302,Other milk,12188,Milk,,0
Drink,13,Other drink,3,1303,Coca Cola,12201,,,0
Drink,13,Other drink,3,1303,"Fanta or Sobo, orange or yellow",12202,,,0
Drink,13,Other drink,3,1303,"Sobo, cherry plum (purple)",12203,,,0
Drink,13,Other drink,3,1303,Sprite,12204,,,0
Drink,13,Other drink,3,1303,"Maheu, ready to drink",12205,,,0
Drink,13,Other drink,3,1303,Tea,12301,Tea,,0
Drink,13,Other drink,3,1303,Coffee,12302,Tea,,0
Drink,13,Other drink,3,1303,Sugar and water solution,12303,,,0
Drink,13,Other drink,3,1303,Thobwa,12304,,,0
Drink,13,Other drink,3,1303,Bota,12305,,,0
Drink,13,Other drink,3,1303,"Infant formula, Lactogen, from powder",12401,,,0
Drink,13,Other drink,3,1303,"Infant formula, Lactogen, ready to drink",12402,,,0
Drink,13,Other drink,3,1303,Other drink,12888,Tea,,0
Fish,14,"Fresh, boiled",4,1404,"Chambo fish, fresh, boiled",13001,Relish,,1
Fish,14,"Fresh, boiled",4,1404,"Kambuzi fish, fresh, boiled",13002,Relish,,1
Fish,14,"Fresh, boiled",4,1404,"Kampango fish, fresh, boiled",13003,Relish,,1
Fish,14,"Fresh, boiled",4,1404,"Makumba fish, fresh, boiled",13004,Relish,,1
Fish,14,"Fresh, boiled",4,1404,"Matemba fish, fresh, boiled",13005,Relish,,1
Fish,14,"Fresh, boiled",4,1404,"Mbaba fish, fresh, boiled",13006,Relish,,1
Fish,14,"Fresh, boiled",4,1404,"Sanjika fish, fresh, boiled",13007,Relish,,1
Fish,14,"Fresh, boiled",4,1404,"Usipa fish, fresh, boiled",13008,Relish,,1
Fish,14,"Fresh, boiled",4,1404,"Utaka fish, fresh, boiled",13009,Relish,,1
Fish,14,"Fresh, boiled",4,1404,"Other fish, fresh, boiled",13088,Relish,,1
Fish,14,"Fresh, fried",5,1405,"Chambo fish, fresh, fried",13101,Relish,,1
Fish,14,"Fresh, fried",5,1405,"Kambuzi fish, fresh, fried",13102,Relish,,1
Fish,14,"Fresh, fried",5,1405,"Kampango fish, fresh, fried",13103,Relish,,1
Fish,14,"Fresh, fried",5,1405,"Makumba fish, fresh, fried",13104,Relish,,1
Fish,14,"Fresh, fried",5,1405,"Matemba fish, fresh, fried",13105,Relish,,1
Fish,14,"Fresh, fried",5,1405,"Mbaba fish, fresh, fried",13106,Relish,,1
Fish,14,"Fresh, fried",5,1405,"Mlamba fish, fresh, fried",13107,Relish,,1
Fish,14,"Fresh, fried",5,1405,"Usipa fish, fresh, fried",13108,Relish,,1
Fish,14,"Fresh, fried",5,1405,"Utaka fish, fresh, fried",13109,Relish,,1
Fish,14,"Fresh, fried",5,1405,"Other fish, fresh, fried",13188,Relish,,1
Fish,14,"Dried, boiled",6,1406,"Bonya fish, dried, boiled",13201,Relish,,1
Fish,14,"Dried, boiled",6,1406,"Chambo fish, dried, boiled",13202,Relish,,1
Fish,14,"Dried, boiled",6,1406,"Kambuzi fish, dried, boiled",13203,Relish,,1
Fish,14,"Dried, boiled",6,1406,"Kampango fish, dried, boiled",13204,Relish,,1
Fish,14,"Dried, boiled",6,1406,"Mbaba fish, dried, boiled",13205,Relish,,1
Fish,14,"Dried, boiled",6,1406,"Usipa fish, dried, boiled",13206,Relish,,1
Fish,14,"Dried, boiled",6,1406,"Utaka fish, dried, boiled",13207,Relish,,1
Fish,14,"Dried, boiled",6,1406,"Other fish, dried, boiled",13288,Relish,,1
Fruit,15,,,1500,"Avocado, ripe, raw",14001,,,0
Fruit,15,,,1500,"Banana, ripe, raw",14002,,,0
Fruit,15,,,1500,"Coconut, white flesh, fresh, raw",14003,,,0
Fruit,15,,,1500,"Guava, ripe, raw",14004,,,0
Fruit,15,,,1500,"Mango, green, raw",14005,,,0
Fruit,15,,,1500,"Mango, ripe, raw",14006,,,0
Fruit,15,,,1500,"Mango, semi-ripe, raw",14007,,,0
Fruit,15,,,1500,"Masau, ripe, raw",14008,,,0
Fruit,15,,,1500,"Orange, raw",14009,,,0
Fruit,15,,,1500,"Papaya, ripe, raw",14010,,,0
Fruit,15,,,1500,"Pineapple, fresh, ripe, raw",14011,,,0
